Book Name:,Rating:,Author:
John Adams,4.04,David McCullough
"Unbroken: A World War II Story of Survival, Resilience and Redemption",4.35,Laura Hillenbrand
Eisenhower: Soldier and President,4.01,Stephen E. Ambrose
The Americanization of Benjamin Franklin,4.14,Gordon S. Wood
The First American: The Life and Times of Benjamin Franklin,4.02,H.W. Brands
Flags of Our Fathers,4.19,James D. Bradley
His Excellency: George Washington,3.91,Joseph J. Ellis
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",4.21,Ashlee Vance
Einstein: His Life and Universe,4.12,Walter Isaacson
Washington: A Life,4.08,Ron Chernow
Thomas Jefferson: The Art of Power,3.96,Jon Meacham
Benjamin Franklin: An American Life,really liked it,Walter Isaacson
The Diary of a Young Girl,4.16,Anne Frank
Extreme Ownership: How U.S. Navy SEALs Lead and Win,4.23,Jocko Willink
American Lion: Andrew Jackson in the White House,3.80,Jon Meacham
Team of Rivals: The Political Genius of Abraham Lincoln,4.22,Doris Kearns Goodwin
Theodore Rex,4.12,Edmund Morris
Steve Jobs,4.15,Walter Isaacson
American Sphinx: The Character of Thomas Jefferson,3.88,Joseph J. Ellis
Into the Wild,3.99,Jon Krakauer
1776,4.05,David McCullough
James Madison: A Biography,3.98,Ralph Louis Ketcham
Andrew Jackson: His Life and Times,3.87,H.W. Brands
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.33,Daniel James Brown
Polk: The Man Who Transformed the Presidency and America,3.78,Walter R. Borneman
Dark Horse: The Surprise Election and Political Murder of President James A. Garfield,4.13,Kenneth D. Ackerman
With Malice Toward None: A Biography of Abraham Lincoln,4.25,Stephen B. Oates
Impeached: The Trial of President Andrew Johnson and the Fight for Lincoln's Legacy,4.04,David O. Stewart
Swami Vivekananda on Himself,4.47,Swami Vivekananda
Albert Einstein: A Biography,4.40,Albrecht Fölsing
Thomas Jefferson (Oxford Portraits),4.02,R.B. Bernstein
The Wright Brothers,4.10,David McCullough
The Intelligent Investor,4.22,Benjamin Graham
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",4.24,Richard P. Feynman
John Quincy Adams: Militant Spirit,4.38,James Traub
Grant,4.39,Ron Chernow
"The Last Lion: Winston Spencer Churchill: Alone, 1932-40",4.22,William Manchester
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",3.59,Elizabeth Gilbert
Becoming,4.50,Michelle Obama
Means of Ascent,4.16,Robert A. Caro
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,Erik Larson
Colonel Roosevelt,4.01,Edmund Morris
Tuesdays with Morrie,4.12,Mitch Albom
Angela's Ashes,4.12,Frank McCourt
The Boys in the Boat: The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics,4.41,Gregory Mone
Dead Wake: The Last Crossing of the Lusitania,4.07,Erik Larson
Rutherford B. Hayes,3.60,Hans L. Trefousse
"The Autobiography of Martin Luther King, Jr.",4.23,Martin Luther King Jr.
Benjamin Harrison,3.85,Charles W. Calhoun
Gandhi the Man: How One Man Changed Himself to Change the World,4.23,Eknath Easwaran
The Life of Abraham Lincoln,4.08,Henry Ketcham
The Help,4.46,Kathryn Stockett
Rutherford B. Hayes: Warrior and President,3.94,Ari Hoogenboom
"Mornings on Horseback: The Story of an Extraordinary Family, a Vanished Way of Life, and the Unique Child Who Became Theodore Roosevelt",4.02,David McCullough
Martin Van Buren and the American Political System,3.22,Donald B. Cole
President without a Party: The Life of John Tyler,4.22,Christopher J. Leahy
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",4.02,Doris Kearns Goodwin
Coolidge,3.69,Amity Shlaes
The Life of Andrew Jackson,4.04,Robert V. Remini
Running with Scissors,3.73,Augusten Burroughs
Mitch Albom's Tuesdays With Morrie,4.65,Jeffrey Hatcher
Marley and Me: Life and Love With the World's Worst Dog,4.12,John Grogan
"A Child Called ""It""",4.11,Dave Pelzer
Man's Search for Meaning,4.35,Viktor E. Frankl
A Thousand Splendid Suns,4.39,Khaled Hosseini
William Tecumseh Sherman: In the Service of My Country: A Life,4.31,James Lee McDonough
When Breath Becomes Air,4.36,Paul Kalanithi
The Autobiography of Mark Twain,3.85,Mark Twain
James Monroe,3.67,Gary  Hart
Andrew Jackson,3.90,Sean Wilentz
John Quincy Adams,3.92,Robert V. Remini
Thomas Jefferson,3.90,Joyce Appleby
John Adams,3.87,John Patrick Diggins
The Magic Strings of Frankie Presto: A Novel by Mitch Albom | Summary & Analysis,4.48,Instaread Summaries
Me Talk Pretty One Day,3.99,David Sedaris
"More Than Love, A Husband's Tale",4.30,Peter B. Forster
The Moralist: Woodrow Wilson and the World He Made,3.95,Patricia O'Toole
Tyll,3.96,Daniel Kehlmann
James Madison,3.83,Garry Wills
My Father's Prostitute: Story of a Stolen Childhood,3.54,Steven Whitacre
"The Idea of a Theater: A Study of Ten Plays, The Art of Drama in Changing Perspective",0.00,Francis Fergusson
"Rousseau, Kant and Goethe",4.07,Ernst Cassirer
